"","BU_CODE","slope_angle"
"173","BU00180101",0.0602331058084453
"174","BU00180102",0.0601640134301801
"175","BU00180103",0.0643209112675183
"176","BU00180104",0.0684778091048565
"177","BU00180105",0.0387871906721364
"178","BU00180106",0.0300862971074012
"179","BU00180107",0.0266368879041098
"180","BU00180201",0.0390814011374587
"181","BU00180202",0.0411511522262612
"182","BU00180203",0.0466878965387408
"183","BU00180204",0.0150388686651366
"184","BU00180205",0.0567134008560563
"185","BU00180206",0.0257442608916335
"186","BU00180207",0.0150367299645548
"187","BU00180208",0.0266344721622347
"188","BU00180209",0.0387871906721364
"189","BU00180210",0.0300777352580804
"190","BU00180301",0.0448998566218032
"191","BU00180302",0.0684660584758008
"192","BU00180303",0.0266344721622347
"193","BU00180304",0.0417559361965075
"194","BU00180305",0.0115857874077857
"195","BU00180306",0.0547913341878157
"196","BU00180501",0.0179411074367227
"197","BU00180502",0.0101324083418603
"198","BU00180601",0.0639142227700524
"199","BU00180602",0.00764488957544381
"200","BU00180603",0.0203904954280942
"201","BU00180604",0
"202","BU00180605",0.0749104621081323
"203","BU00180606",0.0187980490840829
"204","BU00180701",0.0257592580452582
"205","BU00180702",0.0919782709436849
"206","BU00180801",0.0611744635471533
"207","BU00180802",0.0426797980457145
"208","BU00180803",0.0766840305288629
"209","BU00180804",0.080322622895489
"210","BU00180901",0.0529147522695112
"211","BU00181101",0.0512300078913111
"212","BU00181102",0.0298654367212203
"213","BU00181103",0.0150410085402363
"214","BU00181104",0.0203976325241897
"215","BU00181105",0.0203976325241897
"216","BU00181106",0.020395847792751
"217","BU00181107",0.0298942795878238
"218","BU00181108",0.0240629685100077
"219","BU00181109",0.047992972680214
"220","BU00220001",0.0537935095582247
"221","BU00220002",0.0282928784654456
"222","BU00220003",0.0460770440828507
"223","BU00220004",0.0535201032240619
"224","BU00220008",0.0914242144966927
"225","BU00220009",0.0310899294397078
"226","BU00220100",0.0782981798354212
"227","BU00220101",0.0559070311726312
"228","BU00220102",0.0433900823030428
"229","BU00220103",0.0537457250778751
"230","BU00220107",0.0451101816084305
"231","BU00220108",0.0293061549118099
"232","BU00220109",0.0559563264145415
"233","BU00220200",0.0799142447747805
"234","BU00220201",0.0547966203889417
"235","BU00220209",0.0553500048652818
"236","BU00220400",0.10116931477225
"237","BU00220401",0.0337443010464911
"238","BU00220409",0.0660362144710415
"239","BU00220500",0.0308411618296012
"240","BU00220509",0.0265483519474675
"241","BU00220600",0.0403875624138343
"242","BU00220609",0.0271423907970758
"243","BU00220700",0.0242875396601491
"244","BU00220709",0.0286579320793473
"245","BU00240000",0.0603361949793221
"246","BU00240001",0.035759626616237
"247","BU00240002",0.0150818904317296
"248","BU00240003",0.0311977676796346
"249","BU00240005",0.0220657504104842
"250","BU00240008",0.0386487958426886
"251","BU00240009",0.0212629856314273
"252","BU00240100",0.015544965864112
"253","BU00240101",1.55300521555836e-18
"254","BU00240102",0
"255","BU00240109",0.0240734739431743
"256","BU00240200",0.0517297142188285
"257","BU00240201",0.0475981721551077
"258","BU00240202",1.55300521555836e-18
"259","BU00240203",0.0517398380785467
"260","BU00240209",0.0283756532131236
"261","BU00240300",0.0343469038960234
"262","BU00240301",0.0395681918020318
"263","BU00240302",0.026282526885069
"264","BU00240303",0.0428536930830806
"265","BU00240304",0.015086218704635
"266","BU00240305",0.0150875178413332
"267","BU00240309",0.0216522446311004
"268","BU00250000",0.0819181279991398
"269","BU00250002",0.0547085244630633
"270","BU00250003",0.0371493783044593
"271","BU00250004",0.0799215060487682
"272","BU00250005",0.0276101815230375
"273","BU00250006",0
"274","BU00250007",0.0752993928952003
"275","BU00250008",0.0475274428933974
"276","BU00250009",0.0423402437510428
"277","BU00250100",0.0615396442578718
"278","BU00250101",0.0394665228610512
"279","BU00250102",0.0339169505264723
"280","BU00250104",0.0504170897241234
"281","BU00250108",0.0657552862051669
"282","BU00250109",0.0390198176985609
"283","BU00340101",0.0408649550981211
"284","BU00340102",0.0445041864975391
"285","BU00340103",0.041577078739733
"286","BU00340104",0.0528788121491743
"287","BU00340105",0.0954699379619351
"288","BU00340106",0.129217349942614
"289","BU00340107",0.0422892023813448
"290","BU00340108",0.049678374616255
"291","BU00340109",0.0296694609799407
"292","BU00340110",0.0849356315338128
"293","BU00340171",0.114309054150299
"294","BU00340173",0.0981683507384142
"295","BU00340199",NA
"296","BU00340201",0.108616192968752
"297","BU00340202",0.105422794597891
"298","BU00340203",0.044522453709694
"299","BU00340204",0.0281056012529332
"300","BU00340205",0.0512218541879117
"301","BU00340206",0.0577086739198035
"302","BU00340207",0.0491932150586977
"303","BU00340208",0.024129331830829
"304","BU00340209",0.0151949256498929
"305","BU00340210",0.0722864794561249
"306","BU00340211",0.0485349172481643
"307","BU00340212",0.0325132867019829
"308","BU00340213",0.0393987631453709
"309","BU00340214",0.0748386905810258
"310","BU00340215",NA
"311","BU00340271",0.0529243858290417
"312","BU00340272",0.0558585782048658
"313","BU00340273",0.0834033281377313
"314","BU00340274",0.113355006024747
"315","BU00340275",0.134170832437935
"316","BU00340276",0.0980841565311784
"317","BU00340299",NA
"318","BU00340301",0.0387444290889254
"319","BU00340302",0.0717971310062172
"320","BU00340303",0.0405971072979603
"321","BU00340304",0.0400861979543207
"322","BU00340305",0.0696493170819399
"323","BU00340306",0.0400831825021077
"324","BU00340307",0.05431814979993
"325","BU00340308",0.0349136692118819
"326","BU00340309",0.0716676899656202
"327","BU00340310",0.0543281660605383
"328","BU00340311",0.0610991202481066
"329","BU00340312",0.0512095009696795
"330","BU00340313",0.0666234040952971
"331","BU00340371",0.020427143302496
"332","BU00340372",0.0569124718081304
"333","BU00340373",NA
"334","BU00340399",NA
"335","BU00340401",NA
"336","BU00340402",NA
"337","BU00340403",0.0864266025496252
"338","BU00340404",NA
"339","BU00340471",0.0558564179103876
"340","BU00340472",0.096635139583384
"341","BU00340473",0.0755531050487453
"342","BU00340499",0.0736468784456011
"343","BU00340502",0.105439090183059
"344","BU00340599",0.058203392509747
"345","BU00340699",NA
"346","BU00370100",0.0449889419286896
"347","BU00370101",0.0299926313768802
"348","BU00370102",0.086454155091587
"349","BU00370103",0.0894859340615889
"350","BU00370104",0.0511569435265962
"351","BU00370105",0.0760975284512758
"352","BU00370106",0.0556432244592506
"353","BU00370107",0.0392373768524139
"354","BU00370108",0.0203219986948679
"355","BU00370109",0.0313900563486923
"356","BU00370110",0.0610267827860294
"357","BU00370111",0.0341268558784141
"358","BU00370112",0.0672643852134036
"359","BU00370200",0.0688218752739682
"360","BU00370201",0.0704295742511114
"361","BU00370202",0.0553129019273976
"362","BU00370203",0.0408283161029709
"363","BU00370300",0.0999143129987732
"364","BU00370301",0.12111467469575
"365","BU00370308",0.0601687634601059
"366","BU00370309",0.043761401641095
"367","BU00370400",0.0375509041378175
"368","BU00370401",0.0716430402614909
"369","BU00370402",0.0525719685973526
"370","BU00370409",0.0479557129282339
"371","BU00370500",0.0980404232332055
"372","BU00370509",0.0756336160808305
"373","BU00400000",0.0309551427525682
"374","BU00400001",0.0590807678492407
"375","BU00400002",0.0422849077202205
"376","BU00400003",0.0667360702622732
"377","BU00400004",0.0505234611262269
"378","BU00400006",0.0292796041506416
"379","BU00400007",0.0489831112573655
"380","BU00400008",0.0468385881739011
"381","BU00400009",0.0405841035757255
"382","BU00400100",0.0581304567155264
"383","BU00400101",0.0430044597247068
"384","BU00400102",0.0676243424711763
"385","BU00400108",0.0698001860377013
"386","BU00400109",0.0500595209553071
"387","BU00400200",0.079536461300259
"388","BU00400201",0.049881374027703
"389","BU00400203",0.070281403582822
"390","BU00400204",0.0400366306789018
"391","BU00400208",0.0540460067548067
"392","BU00400209",0.0452026449668226
"393","BU00400300",0.0609885137782761
"394","BU00400301",0.035854243478615
"395","BU00400302",0.0239824864724193
"396","BU00400304",0.0596350854834307
"397","BU00400308",0.0294444284284768
"398","BU00400309",0.0253929176793406
"399","BU00400400",0.025829541575831
"400","BU00400409",0.0225186694794138
"401","BU00470000",0.0390551904469199
"402","BU00470001",0.0210873079460313
"403","BU00470002",0.0383477630521202
"404","BU00470003",0.0322221517002842
"405","BU00470004",0.0393541402887281
"406","BU00470005",0.0319987157973843
"407","BU00470006",0.0302275447707433
"408","BU00470007",0.0315168934428665
"409","BU00470100",0.0498385038265594
"410","BU00470101",0.0165501053545195
"411","BU00470102",0.0386027984342702
"412","BU00470109",0.0302645235817436
"413","BU00470200",0.0238430606169787
"414","BU00470201",0.0255654519114218
"415","BU00470202",0.0351762985434714
"416","BU00470203",0.0238888451727559
"417","BU00470209",0.0278340360276011
"418","BU00480000",0.0722961537169653
"419","BU00480001",0.040918475468718
"420","BU00480004",0.0838449598322505
"421","BU00480006",0.0865763249775982
"422","BU00480008",0.0373808289456328
"423","BU00480009",0.100410497015678
"424","BU00480100",0.0474964841945661
"425","BU00480101",0.0266128701894573
"426","BU00480102",0.0680775952219161
"427","BU00480103",0.0115252715773002
"428","BU00480104",0.0785510993153358
"429","BU00480109",0.0471705784873988
"430","BU00480200",0.0631670545221541
"431","BU00480201",0.0900507301585556
"432","BU00480202",0.0307812719079217
"433","BU00480204",0.0409832151734136
"434","BU00480207",0.0229221702702658
"435","BU00480208",0.0267053404066205
"436","BU00480209",0.0412677105185194
"437","BU00480300",0.0183119419454483
"438","BU00480301",0.072046869272615
"439","BU00480302",0.0937948318811814
"440","BU00480309",0.099863049013096
"441","BU00480400",0.121400290635522
"442","BU00480401",NA
"443","BU00480402",0.039194443310327
"444","BU00480403",0.0622646252261047
"445","BU00480404",0.0409253350747357
"446","BU00480405",NA
"447","BU00480406",0.172015790114863
"448","BU00480407",0.109488897884359
"449","BU00480408",0.169561531205047
